source_symbol,source_organism,ensg,ortholog_ensg,target_symbol,target_organism,description
GOLGA2,human,ENSG00000167110,,,mouse,
TTC39B,human,ENSG00000155158,ENSMUSG00000038172,Ttc39b,mouse,tetratricopeptide repeat domain 39B [Source:MGI Symbol;Acc:MGI:1917113]
TTC9C,human,ENSG00000162222,ENSMUSG00000071660,Ttc9c,mouse,tetratricopeptide repeat domain 9C [Source:MGI Symbol;Acc:MGI:1917637]
RAB29,human,ENSG00000117280,ENSMUSG00000026433,Rab29,mouse,"RAB29, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2385107]"
HDDC2,human,ENSG00000111906,ENSMUSG00000000295,Hddc2,mouse,HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]
WDR74,human,ENSG00000133316,ENSMUSG00000042729,Wdr74,mouse,WD repeat domain 74 [Source:MGI Symbol;Acc:MGI:2147427]
PRKD1,human,ENSG00000184304,ENSMUSG00000002688,Prkd1,mouse,protein kinase D1 [Source:MGI Symbol;Acc:MGI:99879]
EDF1,human,ENSG00000107223,ENSMUSG00000015092,Edf1,mouse,endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227]
Eif3m,human,ENSG00000149100,ENSMUSG00000027170,Eif3m,mouse,"eukaryotic translation initiation factor 3, subunit M [Source:MGI Symbol;Acc:MGI:1351744]"
ATP6V0C,human,ENSG00000185883,ENSMUSG00000024121,Atp6v0c,mouse,"ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]"
FTL,human,ENSG00000087086,ENSMUSG00000050708,Ftl1,mouse,ferritin light polypeptide 1 [Source:MGI Symbol;Acc:MGI:95589]
FTL,human,ENSG00000087086,ENSMUSG00000062382,Ftl1-ps1,mouse,"ferritin light polypeptide 1, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3779109]"
CMAS,human,ENSG00000111726,ENSMUSG00000030282,Cmas,mouse,cytidine monophospho-N-acetylneuraminic acid synthetase [Source:MGI Symbol;Acc:MGI:1337124]
FARSB,human,ENSG00000116120,ENSMUSG00000026245,Farsb,mouse,"phenylalanyl-tRNA synthetase, beta subunit [Source:MGI Symbol;Acc:MGI:1346035]"
PPIG,human,ENSG00000138398,ENSMUSG00000042133,Ppig,mouse,peptidyl-prolyl isomerase G (cyclophilin G) [Source:MGI Symbol;Acc:MGI:2445173]
EMG1,human,ENSG00000126749,ENSMUSG00000004268,Emg1,mouse,EMG1 N1-specific pseudouridine methyltransferase [Source:MGI Symbol;Acc:MGI:1315195]
LEPRE1,human,,,,mouse,
DARS,human,,,,mouse,
DDX1,human,ENSG00000079785,ENSMUSG00000037149,Ddx1,mouse,DEAD box helicase 1 [Source:MGI Symbol;Acc:MGI:2144727]
RPLP0P6,human,ENSG00000213553,,,mouse,
ATPAF1,human,ENSG00000123472,ENSMUSG00000028710,Atpaf1,mouse,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:MGI Symbol;Acc:MGI:2180560]
TBC1D17,human,ENSG00000104946,ENSMUSG00000038520,Tbc1d17,mouse,"TBC1 domain family, member 17 [Source:MGI Symbol;Acc:MGI:2449973]"
Pak1,human,ENSG00000149269,ENSMUSG00000030774,Pak1,mouse,p21 (RAC1) activated kinase 1 [Source:MGI Symbol;Acc:MGI:1339975]
B4galt1,human,ENSG00000086062,ENSMUSG00000028413,B4galt1,mouse,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:95705]"
DDX56,human,ENSG00000136271,ENSMUSG00000004393,Ddx56,mouse,DEAD box helicase 56 [Source:MGI Symbol;Acc:MGI:1277172]
GLUD1,human,ENSG00000148672,ENSMUSG00000021794,Glud1,mouse,glutamate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:95753]
SRSF7,human,ENSG00000115875,ENSMUSG00000024097,Srsf7,mouse,serine and arginine-rich splicing factor 7 [Source:MGI Symbol;Acc:MGI:1926232]
PSIP1,human,ENSG00000164985,ENSMUSG00000028484,Psip1,mouse,PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]
TIMP2,human,ENSG00000035862,ENSMUSG00000017466,Timp2,mouse,tissue inhibitor of metalloproteinase 2 [Source:MGI Symbol;Acc:MGI:98753]
MICALL2,human,ENSG00000164877,ENSMUSG00000036718,Micall2,mouse,MICAL-like 2 [Source:MGI Symbol;Acc:MGI:2444818]
ALDH7A1,human,ENSG00000164904,ENSMUSG00000053644,Aldh7a1,mouse,"aldehyde dehydrogenase family 7, member A1 [Source:MGI Symbol;Acc:MGI:108186]"
POP4,human,ENSG00000105171,ENSMUSG00000030423,Pop4,mouse,"processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913411]"
RAB5A,human,ENSG00000144566,ENSMUSG00000017831,Rab5a,mouse,"RAB5A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105926]"
Srp19,human,ENSG00000153037,ENSMUSG00000014504,Srp19,mouse,signal recognition particle 19 [Source:MGI Symbol;Acc:MGI:1913634]
MAP1S,human,ENSG00000130479,ENSMUSG00000019261,Map1s,mouse,microtubule-associated protein 1S [Source:MGI Symbol;Acc:MGI:2443304]
HIST2H2AB,human,,,,mouse,
CCNYL1,human,ENSG00000163249,ENSMUSG00000070871,Ccnyl1,mouse,cyclin Y-like 1 [Source:MGI Symbol;Acc:MGI:2138614]
TIMMDC1,human,ENSG00000113845,ENSMUSG00000002846,Timmdc1,mouse,translocase of inner mitochondrial membrane domain containing 1 [Source:MGI Symbol;Acc:MGI:1922139]
PRDX4,human,ENSG00000123131,ENSMUSG00000025289,Prdx4,mouse,peroxiredoxin 4 [Source:MGI Symbol;Acc:MGI:1859815]
KDELC1,human,,,,mouse,
TMEM256-PLSCR3,human,ENSG00000262481,ENSMUSG00000070394,Tmem256,mouse,transmembrane protein 256 [Source:MGI Symbol;Acc:MGI:1916436]
ANTXR1,human,ENSG00000169604,ENSMUSG00000033420,Antxr1,mouse,anthrax toxin receptor 1 [Source:MGI Symbol;Acc:MGI:1916788]
ENPEP,human,ENSG00000138792,ENSMUSG00000028024,Enpep,mouse,glutamyl aminopeptidase [Source:MGI Symbol;Acc:MGI:106645]
PSMD8,human,ENSG00000099341,ENSMUSG00000030591,Psmd8,mouse,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8 [Source:MGI Symbol;Acc:MGI:1888669]"
FABP5,human,ENSG00000164687,ENSMUSG00000027533,Fabp5,mouse,"fatty acid binding protein 5, epidermal [Source:MGI Symbol;Acc:MGI:101790]"
NT5C3A,human,ENSG00000122643,ENSMUSG00000029780,Nt5c3,mouse,"5'-nucleotidase, cytosolic III [Source:MGI Symbol;Acc:MGI:1927186]"
DDX27,human,ENSG00000124228,ENSMUSG00000017999,Ddx27,mouse,DEAD box helicase 27 [Source:MGI Symbol;Acc:MGI:2385884]
MYL12A,human,ENSG00000101608,ENSMUSG00000024048,Myl12a,mouse,"myosin, light chain 12A, regulatory, non-sarcomeric [Source:MGI Symbol;Acc:MGI:1914518]"
UBLCP1,human,ENSG00000164332,ENSMUSG00000041231,Ublcp1,mouse,ubiquitin-like domain containing CTD phosphatase 1 [Source:MGI Symbol;Acc:MGI:1933105]
C2orf43,human,,,,mouse,
SCAMP2,human,ENSG00000140497,ENSMUSG00000040188,Scamp2,mouse,secretory carrier membrane protein 2 [Source:MGI Symbol;Acc:MGI:1346518]
HSPE1-MOB4,human,ENSG00000270757,ENSMUSG00000025979,Mob4,mouse,"MOB family member 4, phocein [Source:MGI Symbol;Acc:MGI:104899]"
HSPBP1,human,ENSG00000133265,ENSMUSG00000063802,Hspbp1,mouse,"HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1 [Source:MGI Symbol;Acc:MGI:1913495]"
Cherp,human,ENSG00000085872,ENSMUSG00000052488,Cherp,mouse,calcium homeostasis endoplasmic reticulum protein [Source:MGI Symbol;Acc:MGI:106417]
Ubxn1,human,ENSG00000162191,ENSMUSG00000071655,Ubxn1,mouse,UBX domain protein 1 [Source:MGI Symbol;Acc:MGI:1289301]
SPRY2,human,ENSG00000136158,ENSMUSG00000022114,Spry2,mouse,sprouty RTK signaling antagonist 2 [Source:MGI Symbol;Acc:MGI:1345138]
TRIM23,human,ENSG00000113595,ENSMUSG00000021712,Trim23,mouse,tripartite motif-containing 23 [Source:MGI Symbol;Acc:MGI:1933161]
ECHS1,human,ENSG00000127884,ENSMUSG00000025465,Echs1,mouse,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial [Source:MGI Symbol;Acc:MGI:2136460]"
SMAD3,human,ENSG00000166949,ENSMUSG00000032402,Smad3,mouse,SMAD family member 3 [Source:MGI Symbol;Acc:MGI:1201674]
Hnrnpm,human,ENSG00000099783,ENSMUSG00000059208,Hnrnpm,mouse,heterogeneous nuclear ribonucleoprotein M [Source:MGI Symbol;Acc:MGI:1926465]
LEPREL4,human,,,,mouse,
WASH6P,human,ENSG00000182484,ENSMUSG00000024101,Washc1,mouse,WASH complex subunit 1 [Source:MGI Symbol;Acc:MGI:1916017]
Gtf2h1,human,ENSG00000110768,ENSMUSG00000006599,Gtf2h1,mouse,"general transcription factor II H, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1277216]"
MYO18A,human,ENSG00000196535,ENSMUSG00000000631,Myo18a,mouse,myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]
AGPAT4,human,ENSG00000026652,ENSMUSG00000023827,Agpat4,mouse,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) [Source:MGI Symbol;Acc:MGI:1915512]"
Rbm4,human,ENSG00000173933,ENSMUSG00000094936,Rbm4,mouse,RNA binding motif protein 4 [Source:MGI Symbol;Acc:MGI:1100865]
Rbm4,human,ENSG00000173933,ENSMUSG00000096370,Gm21992,mouse,predicted gene 21992 [Source:MGI Symbol;Acc:MGI:5439461]
NDC1,human,ENSG00000058804,ENSMUSG00000028614,Ndc1,mouse,NDC1 transmembrane nucleoporin [Source:MGI Symbol;Acc:MGI:1920037]
Ncoa5,human,ENSG00000124160,ENSMUSG00000039804,Ncoa5,mouse,nuclear receptor coactivator 5 [Source:MGI Symbol;Acc:MGI:2385165]
CAV1,human,ENSG00000105974,ENSMUSG00000007655,Cav1,mouse,"caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]"
TUBG1,human,ENSG00000131462,ENSMUSG00000035198,Tubg1,mouse,"tubulin, gamma 1 [Source:MGI Symbol;Acc:MGI:101834]"
U2SURP,human,ENSG00000163714,ENSMUSG00000032407,U2surp,mouse,U2 snRNP-associated SURP domain containing [Source:MGI Symbol;Acc:MGI:1915208]
NUDCD2,human,ENSG00000170584,ENSMUSG00000020328,Nudcd2,mouse,NudC domain containing 2 [Source:MGI Symbol;Acc:MGI:1277103]
Rbm6,human,ENSG00000004534,ENSMUSG00000032582,Rbm6,mouse,RNA binding motif protein 6 [Source:MGI Symbol;Acc:MGI:1338037]
Impad1,human,ENSG00000104331,ENSMUSG00000066324,Bpnt2,mouse,"3'(2'), 5'-bisphosphate nucleotidase 2 [Source:MGI Symbol;Acc:MGI:1915720]"
RBM15,human,ENSG00000162775,ENSMUSG00000048109,Rbm15,mouse,RNA binding motif protein 15 [Source:MGI Symbol;Acc:MGI:2443205]
HNMT,human,ENSG00000150540,ENSMUSG00000026986,Hnmt,mouse,histamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:2153181]
TFE3,human,ENSG00000068323,ENSMUSG00000000134,Tfe3,mouse,transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
GARS,human,,,,mouse,
Otub1,human,ENSG00000167770,ENSMUSG00000024767,Otub1,mouse,"OTU domain, ubiquitin aldehyde binding 1 [Source:MGI Symbol;Acc:MGI:2147616]"
FHOD1,human,ENSG00000135723,ENSMUSG00000014778,Fhod1,mouse,formin homology 2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2679008]
TRAPPC2,human,ENSG00000196459,ENSMUSG00000079317,Trappc2,mouse,trafficking protein particle complex 2 [Source:MGI Symbol;Acc:MGI:1913476]
TNS1,human,ENSG00000079308,ENSMUSG00000055322,Tns1,mouse,tensin 1 [Source:MGI Symbol;Acc:MGI:104552]
Carhsp1,human,ENSG00000153048,ENSMUSG00000008393,Carhsp1,mouse,calcium regulated heat stable protein 1 [Source:MGI Symbol;Acc:MGI:1196368]
FAM21C,human,,,,mouse,
Nsa2,human,ENSG00000164346,ENSMUSG00000060739,Nsa2,mouse,NSA2 ribosome biogenesis homolog [Source:MGI Symbol;Acc:MGI:1913883]
Ppp5c,human,ENSG00000011485,ENSMUSG00000003099,Ppp5c,mouse,"protein phosphatase 5, catalytic subunit [Source:MGI Symbol;Acc:MGI:102666]"
Jagn1,human,ENSG00000171135,ENSMUSG00000051256,Jagn1,mouse,jagunal homolog 1 [Source:MGI Symbol;Acc:MGI:1915017]
CAST,human,ENSG00000153113,ENSMUSG00000021585,Cast,mouse,calpastatin [Source:MGI Symbol;Acc:MGI:1098236]
SNX9,human,ENSG00000130340,ENSMUSG00000002365,Snx9,mouse,sorting nexin 9 [Source:MGI Symbol;Acc:MGI:1913866]
C1orf198,human,ENSG00000119280,ENSMUSG00000031983,2310022B05Rik,mouse,RIKEN cDNA 2310022B05 gene [Source:MGI Symbol;Acc:MGI:1916801]
RPL9,human,ENSG00000163682,,,mouse,
TRPM4,human,ENSG00000130529,ENSMUSG00000038260,Trpm4,mouse,"transient receptor potential cation channel, subfamily M, member 4 [Source:MGI Symbol;Acc:MGI:1915917]"
COG8,human,ENSG00000213380,ENSMUSG00000031916,Cog8,mouse,component of oligomeric golgi complex 8 [Source:MGI Symbol;Acc:MGI:2142885]
MARC2,human,,,,mouse,
LOC100911987,human,,,,mouse,
Eif4a2,human,ENSG00000156976,ENSMUSG00000022884,Eif4a2,mouse,eukaryotic translation initiation factor 4A2 [Source:MGI Symbol;Acc:MGI:106906]
COPB1,human,ENSG00000129083,ENSMUSG00000030754,Copb1,mouse,"coatomer protein complex, subunit beta 1 [Source:MGI Symbol;Acc:MGI:1917599]"
Nat14,human,ENSG00000090971,ENSMUSG00000035285,Nat14,mouse,N-acetyltransferase 14 [Source:MGI Symbol;Acc:MGI:3039561]
CYCS,human,ENSG00000172115,ENSMUSG00000058927,Gm10053,mouse,predicted gene 10053 [Source:MGI Symbol;Acc:MGI:3704493]
CYCS,human,ENSG00000172115,ENSMUSG00000063694,Cycs,mouse,"cytochrome c, somatic [Source:MGI Symbol;Acc:MGI:88578]"
DYNC2H1,human,ENSG00000187240,ENSMUSG00000047193,Dync2h1,mouse,dynein cytoplasmic 2 heavy chain 1 [Source:MGI Symbol;Acc:MGI:107736]
SERPINH1,human,ENSG00000149257,ENSMUSG00000070436,Serpinh1,mouse,"serine (or cysteine) peptidase inhibitor, clade H, member 1 [Source:MGI Symbol;Acc:MGI:88283]"
INTS7,human,ENSG00000143493,ENSMUSG00000037461,Ints7,mouse,integrator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1924315]
Ostc,human,ENSG00000198856,ENSMUSG00000041084,Ostc,mouse,oligosaccharyltransferase complex subunit (non-catalytic) [Source:MGI Symbol;Acc:MGI:1913607]
SAMHD1,human,ENSG00000101347,ENSMUSG00000027639,Samhd1,mouse,"SAM domain and HD domain, 1 [Source:MGI Symbol;Acc:MGI:1927468]"
PKM,human,ENSG00000067225,ENSMUSG00000032294,Pkm,mouse,"pyruvate kinase, muscle [Source:MGI Symbol;Acc:MGI:97591]"
REPS1,human,ENSG00000135597,ENSMUSG00000019854,Reps1,mouse,RalBP1 associated Eps domain containing protein [Source:MGI Symbol;Acc:MGI:1196373]
CDC5L,human,ENSG00000096401,ENSMUSG00000023932,Cdc5l,mouse,cell division cycle 5-like (S. pombe) [Source:MGI Symbol;Acc:MGI:1918952]
CDC5L,human,ENSG00000096401,ENSMUSG00000112027,Gm9045,mouse,predicted gene 9045 [Source:MGI Symbol;Acc:MGI:3647146]
CDC5L,human,ENSG00000096401,ENSMUSG00000112216,Gm32717,mouse,"predicted gene, 32717 [Source:MGI Symbol;Acc:MGI:5591876]"
CDC5L,human,ENSG00000096401,ENSMUSG00000112252,Gm32802,mouse,"predicted gene, 32802 [Source:MGI Symbol;Acc:MGI:5591961]"
CDC5L,human,ENSG00000096401,ENSMUSG00000112419,Gm9044,mouse,predicted gene 9044 [Source:MGI Symbol;Acc:MGI:3647148]
CDC5L,human,ENSG00000096401,ENSMUSG00000112495,Gm9048,mouse,predicted gene 9048 [Source:MGI Symbol;Acc:MGI:3644213]
CDC5L,human,ENSG00000096401,ENSMUSG00000112781,Gm9046,mouse,predicted gene 9046 [Source:MGI Symbol;Acc:MGI:3647143]
CDC5L,human,ENSG00000096401,ENSMUSG00000112814,Gm9040,mouse,predicted gene 9040 [Source:MGI Symbol;Acc:MGI:3643524]
CDC5L,human,ENSG00000096401,ENSMUSG00000112919,Gm9049,mouse,predicted gene 9049 [Source:MGI Symbol;Acc:MGI:3644216]
WIBG,human,,,,mouse,
Rrbp1,human,ENSG00000125844,ENSMUSG00000027422,Rrbp1,mouse,ribosome binding protein 1 [Source:MGI Symbol;Acc:MGI:1932395]
AMOTL1,human,ENSG00000166025,ENSMUSG00000013076,Amotl1,mouse,angiomotin-like 1 [Source:MGI Symbol;Acc:MGI:1922973]
MAPK3,human,ENSG00000102882,ENSMUSG00000063065,Mapk3,mouse,mitogen-activated protein kinase 3 [Source:MGI Symbol;Acc:MGI:1346859]
Cdk6,human,ENSG00000105810,ENSMUSG00000040274,Cdk6,mouse,cyclin-dependent kinase 6 [Source:MGI Symbol;Acc:MGI:1277162]
EIF2B3,human,ENSG00000070785,ENSMUSG00000028683,Eif2b3,mouse,"eukaryotic translation initiation factor 2B, subunit 3 [Source:MGI Symbol;Acc:MGI:1313286]"
CD97,human,,,,mouse,
PSMD6,human,ENSG00000163636,ENSMUSG00000021737,Psmd6,mouse,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6 [Source:MGI Symbol;Acc:MGI:1913663]"
TSPYL5,human,ENSG00000180543,ENSMUSG00000038984,Tspyl5,mouse,"testis-specific protein, Y-encoded-like 5 [Source:MGI Symbol;Acc:MGI:2442458]"
KIAA1279,human,,,,mouse,
Asna1,human,,,,mouse,
Ywhag,human,ENSG00000170027,ENSMUSG00000051391,Ywhag,mouse,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Source:MGI Symbol;Acc:MGI:108109]"
MTHFD2,human,ENSG00000065911,ENSMUSG00000005667,Mthfd2,mouse,"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]"
Sh3rf1,human,ENSG00000154447,ENSMUSG00000031642,Sh3rf1,mouse,SH3 domain containing ring finger 1 [Source:MGI Symbol;Acc:MGI:1913066]
MRPL47,human,ENSG00000136522,ENSMUSG00000037531,Mrpl47,mouse,mitochondrial ribosomal protein L47 [Source:MGI Symbol;Acc:MGI:1921850]
Ppp2r4,human,,,,mouse,
MRPL11,human,ENSG00000174547,ENSMUSG00000024902,Mrpl11,mouse,mitochondrial ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:2137215]
PET112,human,,,,mouse,
NNMT,human,ENSG00000166741,ENSMUSG00000032271,Nnmt,mouse,nicotinamide N-methyltransferase [Source:MGI Symbol;Acc:MGI:1099443]
